iteration,susceptible,infected,recovered
335,1051,732,1817
336,1018,768,1814
337,1018,761,1821
338,985,772,1843
339,952,819,1829
340,930,825,1845
341,909,837,1854
342,872,856,1872
343,874,830,1896
344,861,830,1909
345,845,819,1936
346,844,808,1948
347,836,801,1963
348,829,782,1989
349,817,770,2013
350,811,749,2040
351,788,758,2054
352,773,753,2074
353,779,751,2070
354,770,742,2088
355,760,742,2098
356,761,721,2118
357,757,718,2125
358,757,715,2128
359,755,706,2139
360,736,711,2153
361,730,695,2175
362,753,694,2153
363,760,684,2156
364,758,680,2162
365,797,664,2139
366,815,642,2143
367,829,635,2136
368,860,621,2119
369,875,633,2092
370,902,625,2073
371,910,611,2079
372,910,631,2059
373,922,641,2037
374,934,652,2014
375,954,668,1978
376,937,697,1966
377,910,746,1944
378,894,764,1942
379,896,770,1934
380,887,770,1943
381,876,792,1932
382,867,796,1937
383,851,799,1950
384,837,820,1943
385,827,838,1935
386,819,837,1944
387,788,854,1958
388,775,840,1985
389,740,840,2020
390,727,817,2056
391,727,803,2070
392,722,807,2071
393,719,798,2083
394,699,786,2115
395,705,770,2125
396,706,757,2137
397,689,737,2174
398,695,724,2181
399,695,703,2202
400,691,667,2242
401,685,658,2257
402,679,657,2264
403,689,655,2256
404,718,656,2226
405,727,668,2205
406,748,658,2194
407,780,640,2180
408,822,608,2170
409,837,598,2165
410,849,596,2155
411,885,598,2117
412,896,580,2124
413,931,597,2072
414,968,579,2053
415,1016,581,2003
416,1045,583,1972
417,1042,603,1955
418,1057,618,1925
419,1068,634,1898
420,1064,669,1867
421,1070,672,1858
422,1086,679,1835
423,1083,705,1812
424,1075,725,1800
425,1078,747,1775
426,1072,758,1770
427,1068,749,1783
428,1054,750,1796
429,1030,759,1811
430,997,777,1826
431,996,771,1833
432,977,786,1837
433,968,789,1843
434,926,808,1866
435,899,803,1898
436,861,826,1913
437,859,827,1914
438,817,824,1959
439,792,855,1953
440,739,880,1981
441,713,884,2003
442,663,898,2039
443,637,898,2065
444,619,871,2110
445,593,848,2159
